sentence,essay_id,essay_type,CU0,CU1,CU2,CU3,CU4,CU5
The car mass was 40kg.,P6_04_15_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
At the top of the initial hill which was 5m.,P6_04_15_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"The potential energy was 1957J, but as the cart began to go down the hill, the kinetic energy and potential energy switched.",P6_04_15_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"The kinetic energy was now 1955J at the bottom of the initial hill, and the amount of total energy, 1957J stays the same throughout.",P6_04_15_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"So if the hills were the same height it wouldn't have enough total energy to get to the top of the second hill, which is why the initial hill should always be higher than the additional hill.",P6_04_15_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
I would start with a higher initial hill so the higher it is the more total energy it will have and then it will go faster and be able to clear the additional hill in front of it.,P6_04_15_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
E1: For our teams roller coaster design we will design it to be exciting but also make it to the end of the ride without stopping.,P1_05_19_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"First of all, to make sure the car will make it to the end of the coaster we will make the initial drop height be 5 meters high.",P1_05_19_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
We will make it 5 meters high because we have learned that the higher the drop the more PE the car will have to make it to the end.,P1_05_19_22-23,E1,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"For example, we tried many trials including drop heights of 2,3,4, and 5 and noticed that as the height of the drop increased the PE also increased.",P1_05_19_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"To be specific, when the height was 4 meters, the PE was 1,955 J and when the height was 5 meters the PE was 2,443 J which also increased the total energy.",P1_05_19_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
As the PE increased the KE also increased at the bottom of the initial drop and the more KE energy it has then the more energy it will have to make it to the end of the coaster.,P1_05_19_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"As the PE at the top of the initial drop decreased, the KE at the top of the initial drop increased which helped me notice how they had an indirect relationship.",P1_05_19_22-23,E1,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
"When we set the release height at 4 meters, the total energy was 1,955 J but when we increased the release height to 5 meters the total energy was 2,443 J.",P1_05_19_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
As PE went down the drop it decreased and changed into KE which increased the KE energy as it went down the hill.,P1_05_19_22-23,E1,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
"According to the Law of conservation of energy, no mass can be created or destroyed.",P1_05_19_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"For example, when the PE was 2,443 J and the KE was 0 J the total was still 2,443 J because there was no friction changing the energy into other mechanical forms and no energy could be destroyed or created.",P1_05_19_22-23,E1,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable
"When the drop height was greater than the hill height, the car had enough PE to make it over the hill.",P1_05_19_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"On the other hand, when the drop height was the same or less than the hill height, the car could not make it over the hill because there was not enough PE.",P1_05_19_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
When the mass of the car increased then the PE also increased and the KE increased as well.,P1_05_19_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
"For instance, when the car mass was 50 kg the PE and KE were both 2,443 J.",P1_05_19_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"When the car mass was 60 kg the PE and KE were both 2,932 J.",P1_05_19_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"This data also shows how car mass, KE, and PE all have a direct relationship.",P1_05_19_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
This information helped us decide that we want the initial drop height to be higher than the hill height and we want the mass of the car to be 60 kg because that's what produced the most energy.,P1_05_19_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
E1R: For our teams roller coaster design we will design it to be exciting but also make it to the end of the ride without stopping.,P1_05_19_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"First of all, to make sure the car will make it to the end of the coaster we will make the initial drop height be 5 meters high.",P1_05_19_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
We will make it 5 meters high because we have learned that the higher the drop the more PE the car will have to make it to the end.,P1_05_19_22-23,E1R,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"For example, we tried many trials including drop heights of 2,3,4, and 5 and noticed that as the height of the drop increased the PE also increased.",P1_05_19_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"To be specific, when the height was 4 meters, the PE was 1,955 J and when the height was 5 meters the PE was 2,443 J which also increased the total energy.",P1_05_19_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
As the PE increased the KE also increased at the bottom of the initial drop and the more KE energy it has then the more energy it will have to make it to the end of the coaster.,P1_05_19_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"As the PE at the top of the initial drop decreased, the KE at the top of the initial drop increased which helped me notice how they had an indirect relationship.",P1_05_19_22-23,E1R,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
"When we set the release height at 4 meters, the total energy was 1,955 J but when we increased the release height to 5 meters the total energy was 2,443 J.",P1_05_19_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
As PE went down the drop it decreased and changed into KE which increased the KE energy as it went down the hill.,P1_05_19_22-23,E1R,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
"According to the Law of conservation of energy, no mass can be created or destroyed.",P1_05_19_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"For example, when the PE was 2,443 J and the KE was 0 J the total was still 2,443 J because there was no friction changing the energy into other mechanical forms and no energy could be destroyed or created.",P1_05_19_22-23,E1R,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable
"When the drop height was greater than the hill height, the car had enough PE to make it over the hill.",P1_05_19_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"On the other hand, when the drop height was the same or less than the hill height, the car could not make it over the hill because there was not enough PE.",P1_05_19_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
When the mass of the car increased then the PE also increased and the KE increased as well.,P1_05_19_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
"For instance, when the car mass was 50 kg the PE and KE were both 2,443 J.",P1_05_19_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"When the car mass was 60 kg the PE and KE were both 2,932 J.",P1_05_19_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"This data also shows how car mass, KE, and PE all have a direct relationship.",P1_05_19_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
We also realized how the total energy is always the PE and KE added up and will never be more or less than the PE and KE combined.,P1_05_19_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
This information helped us decide that we want the initial drop height to be higher than the hill height and we want the mass of the car to be 60 kg because that's what produced the most energy.,P1_05_19_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"E1: Dear Gonzales family,",P5_04_19_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
I believe it's in your best interest for your initial drop height to be higher than your first hill.,P5_04_19_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
The roller coaster will not have enough potential energy to make It over the hill if it is higher than the initial drop height.,P5_04_19_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"The higher the PE at the top of the initial drop, the higher the KE at the bottom.",P5_04_19_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"The higher the KE at the bottom, the better.",P5_04_19_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"Because if you want a new and exciting ride, you're going to need a high drop height.",P5_04_19_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"The reason for this is that energy cannot be created, so if your drop height is low, the ride isn't going to have enough PE and KE through for it to be exciting.",P5_04_19_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
I also recommend a heavy cart.,P5_04_19_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
My reasoning for this.,P5_04_19_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"Is that the cart will go faster down the hill, resulting in a higher speed and more excitement for the riders.",P5_04_19_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
I hope you will consider my advice.,P5_04_19_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"Best wishes,",P5_04_19_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"E1R: Dear Gonzales family,",P5_04_19_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"I believe it's in your best interest for your initial drop height to be higher than your first hill, in my research 5m resulted in the best chance of making it over the first hill while 2m had the lowest chance of making it over the first hill, along with it being boring, it just doesn't work.",P5_04_19_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
The reason why I explain PE and KE is that these two things create the total number of energy.,P5_04_19_22-23,E1,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable
"For example, in my research, I found that the higher PE let's say the initial PE is 2443 and the initial KE is 0.",P5_04_19_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"At the top of the hill, the PE will only be 833, and the KE will rise to 1611.",P5_04_19_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The reason for this is most of the PE was used up on the initial drop and no KE was used.,P5_04_19_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"However, at the top of the hill, the KE is used because of the drop changing the PE to KE.",P5_04_19_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"My reasoning for this is that the cart will go faster down the hill, resulting in a higher speed and more excitement for riders.",P5_04_19_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"For example in my trials, 60kg resulted in the highest amount of total energy at the end, while 40kg resulted in the lowest amount of total energy in other words, less speed.",P5_04_19_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"Best wishes, your roller coaster designer.",P5_04_19_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
E1: There are many contributing factors and variables that go into designing a roller coaster that will be functional but still enjoyable for the rider.,P6_06_06_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
A non negotiable factor for the best possible roller coaster design would be a decently high drop height.,P6_06_06_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The initial drop height of the coaster has a huge impact whether or not the roller coaster will work.,P6_06_06_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The initial drop height affects the amount of total energy present.,P6_06_06_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The greater the height of the initial drop the more total energy.,P6_06_06_22-23,E1,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
(PE+KE=TE) At the top of a track that has a higher initial drop height there is a larger amount of PE present (there would be 0 KE present).,P6_06_06_22-23,E1,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable
"At the bottom of that same track there will be the same amount of total energy, just converted to KE.",P6_06_06_22-23,E1,unacceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable
"This is due to the fact that, at the top of the track the car is not in motion and therefore storing energy.",P6_06_06_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
This is the reason that all of the present energy is PE.,P6_06_06_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
There is all KE at the bottom or end of the coaster due to the motion of the coaster.,P6_06_06_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"The higher the initial drop, the more total energy there is.",P6_06_06_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The date I collected proves this because in a trial where the initial drop height it 2m the total energy is 1067J.,P6_06_06_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
A trial with an initial drop height of 4m has a total energy of 2124J.,P6_06_06_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"If a hill on the coaster is too tall, the car will not make it over.",P6_06_06_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
There would be no KE when it got to the highest point of the hill because the car wouldn't be in motion.,P6_06_06_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
In a trial with the hill height of 5m and the initial drop height of 4.5m the car didn't not go over and had 0 KE and the highest point it could be on the hill.,P6_06_06_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
If it did make it over the hill then the amount of KE and PE at the top of the hill was dependent on the height of the hill.,P6_06_06_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The total energy would equal the amounts of KE and PE.,P6_06_06_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"At the top of the Initial drop there is 0 KE, the car's not in motion.",P6_06_06_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
At the top of a hill there is an amount of KE due to the fact that the car is in motion.,P6_06_06_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The PE at the top of the initial drop equals the PE+KE at the top of the hill.,P6_06_06_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Any hills on this coaster need to be lower then the initial drop height for the car to go over.,P6_06_06_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
More energy is required to get over a hill that is taller than the initial drop height.,P6_06_06_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The law of conservation states that energy can't be created so when the initial drop height is lower than the hill there is not enough energy for the car to go over the hill.,P6_06_06_22-23,E1,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable
This roller coaster car also will need a decent amount of mass.,P6_06_06_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The more mass the car has the greater the amount of total energy.,P6_06_06_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
"A greater mass allows the car to move faster, the faster the car is moving the more energy it has.",P6_06_06_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
A car having the mass of 60kg moves faster along the track compared to a car with the mass of 40kg.,P6_06_06_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"The greater amount of energy has to come from somewhere, as the law of conservation says, energy can't be created or destroyed.",P6_06_06_22-23,E1,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable
In this case the energy come from a greater mass and therefore a greater speed.,P6_06_06_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"As mentioned before and clearly highlighted here, there are many factors that go into creating the perfect roller coaster.",P6_06_06_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"Even a slight mistake or change in certain aspects of the coaster could affect the integrity making the coaster not able to be ridden, therefore it is extremely important to be precises and understand the science behind making a roller coaster work.",P6_06_06_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
E1R: There are many contributing factors and variables that go into designing a roller coaster that will be functional but still enjoyable for the rider.,P6_06_06_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
A non-negotiable factor for the best possible roller coaster design would be a decently high drop height.,P6_06_06_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The data I collected proves this because in a trial where the initial drop height is 2m the total energy is 1067J.,P6_06_06_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"With an initial drop height of 4.5m and a hill height of 2m, the car would surely go over.",P6_06_06_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The total energy would equal the amounts of KE and PE.,P6_06_06_22-23,E1,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable
Any hills on this coaster need to be lower than the initial drop height for the car to go over.,P6_06_06_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
A car with a mass of 60kg moves faster along the track compared to a car with a mass of 40kg.,P6_06_06_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
In this case the energy comes from a greater mass and therefore a greater speed.,P6_06_06_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"As mentioned before and clearly highlighted, there are many factors that go into creating the perfect roller coaster.",P6_06_06_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"Even a slight mistake or change in certain aspects of the coaster could affect the integrity, making the coaster not able to be ridden.Therefore it is extremely important to be precise and understand the science behind making a roller coaster work.",P6_06_06_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"A roller coaster with a high initial drop height, a hill that is lower than that height and a decently great mass, it is sure to be the most fun roller coaster.",P6_06_06_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
E1: My recommendation for the Gonzales family is to have the drop height at 5 meters.,P1_06_23_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"This is because when I tested the drop height at 5 meters, the PE was 2209 Joules at the top, and KE was 2209 Joules at the bottom.",P1_06_23_22-23,E1,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
But when I put the drop height at 2 meters the PE was only 883 Joules at the top and the KE was only 883 Joules at the bottom.,P1_06_23_22-23,E1,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
5 meters would be my best recommendation because more PE makes it faster and more KE will keep it safe.,P1_06_23_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
In my model the higher the KE and PE the higher the TE.,P1_06_23_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
This is because KE and PE equal TE.,P1_06_23_22-23,E1,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable
So I recommend a higher amount of PE and KE so there is more energy and velocity.,P1_06_23_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
One way to get high TE is to have a car with a big mass.,P1_06_23_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
I recommend a 60 kg car because in my simulation the PE was 2933 at the top and the KE was 1924 at the bottom.,P1_06_23_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
But with the 40 kg car the PE was 1955 and the KE was 1951.,P1_06_23_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Once again we want high PE and KE so a 60 kg car would be best.,P1_06_23_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
In order to keep the coaster going the whole time we're going to need to have a hill height of around 3.5 meters.,P1_06_23_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The hill needs to be smaller than the initial drop in order to make it to the very end of the ride.,P1_06_23_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
When I tried a 5 meter hill height the car didn't make it to the end because there wasn't enough energy.,P1_06_23_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
When the height was 3.5 meters the car made it to the end.,P1_06_23_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
As the car goes down the drop the PE will go down and the KE will go up.,P1_06_23_22-23,E1,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
At the end of the drop the PE should start rising again in order to get up and down the hill.,P1_06_23_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Another component of making it down the hill is conservation of energy.,P1_06_23_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Energy can change into non-mechanical types of energy.,P1_06_23_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
This means it is still present but it is useless for our roller coaster.,P1_06_23_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
If there is no friction the energy shouldn't change into a different type.,P1_06_23_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The coaster will continue going if PE and KE never transfer into different types of energy.,P1_06_23_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
E1R: My recommendation for the Gonzales family is to have the drop height at 5 meters.,P1_06_23_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The law of conservation of energy states that energy can't be created nor destroyed.,P1_06_23_22-23,E1,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable
Meaning energy can change into non-mechanical types of energy.,P1_06_23_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
If there is no friction the energy won't change into a different type.,P1_06_23_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
E1: Hello Gonzales family!,P5_07_10_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
I'm mailing you my essay about how my roller coaster would be the most popular attraction and how it would run flawlessly without any problems with it's design.,P5_07_10_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"First it has a fast initial drop down into a tunnel then in slowly climes a hill, gaining 2937 PE to make it over a giant hill.",P5_07_10_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Once it drops converting it all into 2933 KE and allowing it to make it over the hill and into a drop.,P5_07_10_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
With a inversion and then slowing down into a flat area keeping the total energy the same because all the PE turned into KE when it went down the initial drop.,P5_07_10_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The cart will be 60Kg because through out my research that's the weigt that gave me the most PE(2937) and KE(2933) energy in all my simulations.,P5_07_10_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
And the reason why the initial drop is so much bigger than the hill is because the initial has to have more PE than the hill at the top of it so it can make it over the hill.,P5_07_10_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
The flat area also shows that the total energy is just the PE + the KE energy,P5_07_10_22-23,E1,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable
And that Gonzales family is why I know my roller coaster will out preform and work better than any other roller coaster you might see.,P5_07_10_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
E1R: Hello Gonzales family!,P5_07_10_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"First it has a fast initial drop ,at 5m, down into a tunnel then in slowly climes a hill, gaining 2937 PE to make it over a 2.5m hill.",P5_07_10_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The cart will be 60Kg because through out my research that's the weight that gave me the most PE(2937) and KE(2933) energy in all my simulations.,P5_07_10_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"Like in my first simulation 50 kg and 5m initial drop, it only had 2448 PE and 2444 KE at the end of the initial drop.",P5_07_10_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Showing that 60 kg is the best weight to use,P5_07_10_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
And the reason why the initial drop is double the size of the hill is because if the the PE on top of the hill is the same as the PE on the top of the initial drop then it won't go over.,P5_07_10_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
"Like in one of my experiments where the hill and initial drop were both 5m and they coaster didn't make it over the hill, making in roll back and fourth.",P5_07_10_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The flat area also shows that the total energy is 2933 which is just all the PE and KE connected.,P5_07_10_22-23,E1,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable
"Another reason why I chose this coaster is because it had the most total energy in all my simulations, the closest one was at 2448 which is a good distance away from the best one.",P5_07_10_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
And all energy in this model is just PE and KE converting into each other once they go down a drop or up a hill.,P5_07_10_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
E1: I think that my design would be the most enjoyable ride for your park.,P5_04_20_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
My design has 4 inversions and it starts on a big drop that is guaranteed to give you the most speed.,P5_04_20_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The roller coaster will carry speed because every time you go on an inversion you gain speed.,P5_04_20_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
You gain speed by turning the KE into PE and then the PE will turn back into KE giving you enough speed for the ride.,P5_04_20_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The drop height in my trial was 5.00m this was high enough to provide enough total energy to take you through the ride.,P5_04_20_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The PE at the top of the drop affects the amount of KE you will have at the bottom of the drop.,P5_04_20_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
I also tested the different hill heights and how they would effect the ride.,P5_04_20_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The hill height effects the amount of PE you will have at the top of the hill.,P5_04_20_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The more PE you have at the top of the hill affects the amount of KE you will have by the end of the hill.,P5_04_20_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
In my trials 4.01m was the best hill height.,P5_04_20_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
This is because you have enough energy to make it up the hill.,P5_04_20_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
For example if you have a hill that is the same height as the drop you will not make it up the hill.,P5_04_20_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The height of the hill has to be just right to gain more speed and carry it through the ride.,P5_04_20_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
